time,Mestput_2,2dagen,3dagen,EVHI
2021-12-08 00:00:00.000,42.62,84.28,126.84,771.7
2021-12-09 00:00:00.000,46.75,89.37,131.03,812.53
2021-12-10 00:00:00.000,45.7,92.45,135.07,792.86
2021-12-11 00:00:00.000,47.9,93.6,140.35,792.89
2021-12-12 00:00:00.000,48.49,96.39,142.09,875.45
2021-12-13 00:00:00.000,45.92,94.41,142.31,860.02
2021-12-14 00:00:00.000,34.7,80.62,129.11,835.48
2021-12-15 00:00:00.000,52.94,87.64,133.56,813.72
2021-12-16 00:00:00.000,46.8,99.74,134.44,789.44
2021-12-17 00:00:00.000,49.49,96.29,149.23,819.33
2021-12-18 00:00:00.000,38.58,88.07,134.87,822.84
2021-12-19 00:00:00.000,51.27,89.85,139.34,530.92
2021-12-20 00:00:00.000,45.65,96.92,135.5,550.14
2021-12-21 00:00:00.000,39.05,84.7,135.97,842.97
2021-12-22 00:00:00.000,22.58,61.63,107.28,757.77
2021-12-23 00:00:00.000,53.33,75.91,114.96,795.12
2021-12-24 00:00:00.000,19.37,72.7,95.28,723.69
2021-12-25 00:00:00.000,37.51,56.88,110.21,707.5
2021-12-26 00:00:00.000,31.64,69.15,88.52,766.94
2021-12-27 00:00:00.000,18.35,49.99,87.5,635.31
2021-12-28 00:00:00.000,42.94,61.29,92.93,691.47
2021-12-29 00:00:00.000,53.99,96.93,115.28,811.53
2021-12-30 00:00:00.000,42.03,96.02,138.96,801.72
2021-12-31 00:00:00.000,42.49,84.52,138.51,820.53
2022-01-01 00:00:00.000,41.13,83.62,125.65,830.22
2022-01-02 00:00:00.000,32.46,73.59,116.08,789.78
2022-01-03 00:00:00.000,43.19,75.65,116.78,863.66
2022-01-04 00:00:00.000,37.49,80.68,113.14,784.69
2022-01-05 00:00:00.000,29.5,66.99,110.18,752.03
2022-01-06 00:00:00.000,44.11,73.61,111.1,820.72
2022-01-07 00:00:00.000,20,64.11,93.61,708.09
2022-01-08 00:00:00.000,19.02,39.02,83.13,659
2022-01-09 00:00:00.000,17.8,36.82,56.82,638.22
2022-01-10 00:00:00.000,30.1,47.9,66.92,631.91
2022-01-11 00:00:00.000,49.81,79.91,97.71,691.28
2022-01-12 00:00:00.000,30.26,80.07,110.17,732.03
2022-01-13 00:00:00.000,39.41,69.67,119.48,682.91
2022-01-14 00:00:00.000,24.45,63.86,94.12,729.62
2022-01-15 00:00:00.000,49.52,73.97,113.38,776.5
2022-01-16 00:00:00.000,51.88,101.4,125.85,808.56
2022-01-17 00:00:00.000,46.4,98.28,147.8,824.62
2022-01-18 00:00:00.000,36.36,82.76,134.64,759.03
2022-01-19 00:00:00.000,51.86,88.22,134.62,855.94
2022-01-20 00:00:00.000,46.37,98.23,134.59,805.22
2022-01-21 00:00:00.000,49.75,96.12,147.98,834.62
2022-01-22 00:00:00.000,42.1,91.85,138.22,819.22
2022-01-23 00:00:00.000,41.77,83.87,133.62,809.34
2022-01-24 00:00:00.000,36.52,78.29,120.39,813.75
2022-01-25 00:00:00.000,44.05,80.57,122.34,668.31
2022-01-26 00:00:00.000,23.53,67.58,104.1,120.31
2022-01-27 00:00:00.000,35.87,59.4,103.45,810.81
2022-01-28 00:00:00.000,49.94,85.81,109.34,809.94
2022-01-29 00:00:00.000,43.08,93.02,128.89,835.75
2022-01-30 00:00:00.000,34.78,77.86,127.8,823.22
2022-01-31 00:00:00.000,41.29,76.07,119.15,801.81
2022-02-01 00:00:00.000,28,69.29,104.07,762.12
2022-02-02 00:00:00.000,50.25,78.25,119.54,860.06
2022-02-03 00:00:00.000,33.49,83.74,111.74,842.72
2022-02-04 00:00:00.000,16.26,49.75,100,735.16
2022-02-05 00:00:00.000,27.98,44.24,77.73,664.12
2022-02-06 00:00:00.000,42.13,70.11,86.37,734.88
2022-02-07 00:00:00.000,66,108.13,136.11,690.09
2022-02-08 00:00:00.000,97.13,163.13,205.26,688.16
2022-02-09 00:00:00.000,80.32,177.45,243.45,607.25
2022-02-10 00:00:00.000,59.49,139.81,236.94,627.69
2022-02-11 00:00:00.000,31.45,90.94,171.26,574.12
2022-02-12 00:00:00.000,18.94,50.39,109.88,656.19
2022-02-13 00:00:00.000,25.4,44.34,75.79,591.25
