time,Mestput_2,2dagen,3dagen,EVHI,
15/01/2022,49.52,73.97,113.38,776.5,1
17/01/2022,46.4,98.28,147.8,824.62,1
18/01/2022,36.36,82.76,134.64,759.03,1
19/01/2022,51.86,88.22,134.62,855.94,1
20/01/2022,46.37,98.23,134.59,805.22,1
21/01/2022,49.75,96.12,147.98,834.62,1
22/01/2022,42.1,91.85,138.22,819.22,1
23/01/2022,41.77,83.87,133.62,809.34,1
24/01/2022,36.52,78.29,120.39,813.75,1
25/01/2022,44.05,80.57,122.34,668.31,1
27/01/2022,35.87,59.4,103.45,810.81,1
28/01/2022,49.94,85.81,109.34,809.94,1
29/01/2022,43.08,93.02,128.89,835.75,1
30/01/2022,34.78,77.86,127.8,823.22,1
31/01/2022,41.29,76.07,119.15,801.81,1
01/02/2022,28,69.29,104.07,762.12,1
02/02/2022,50.25,78.25,119.54,860.06,1
03/02/2022,33.49,83.74,111.74,842.72,1
04/02/2022,16.26,49.75,100,735.16,1
05/02/2022,27.98,44.24,77.73,664.12,1
06/02/2022,42.13,70.11,86.37,734.88,1
11/02/2022,31.45,90.94,171.26,574.12,1
12/02/2022,18.94,50.39,109.88,656.19,1
13/02/2022,25.4,44.34,75.79,591.25,1
14/02/2022,46.31,71.71,90.65,692.84,1
15/02/2022,48.76,95.07,120.47,658.94,1
16/02/2022,49.04,97.8,144.11,650.5,1
18/02/2022,39.03,94.79,143.83,748.28,1
19/02/2022,33.24,72.27,128.03,665.34,1
20/02/2022,41.1,74.34,113.37,715.03,1
21/02/2022,29.95,71.05,104.29,696.66,1
22/02/2022,45.67,75.62,116.72,787.62,1
23/02/2022,35.47,81.14,111.09,742.84,1
24/02/2022,64.46,99.93,145.6,839.19,1
27/02/2022,39.92,96.61,145.04,616.06,1
