time,Mestput_2,2dagen,3dagen,4dagen,5dagen,EVHI
09/12/2021,46.75,45.7,47.9,48.49,45.92,812.53
10/12/2021,45.7,47.9,48.49,45.92,34.7,792.86
11/12/2021,47.9,48.49,45.92,34.7,52.94,792.89
12/12/2021,48.49,45.92,34.7,52.94,46.8,875.45
13/12/2021,45.92,34.7,52.94,46.8,49.49,860.02
14/12/2021,34.7,52.94,46.8,49.49,38.58,835.48
15/12/2021,52.94,46.8,49.49,38.58,51.27,813.72
16/12/2021,46.8,49.49,38.58,51.27,45.65,789.44
17/12/2021,49.49,38.58,51.27,45.65,39.05,819.33
18/12/2021,38.58,51.27,45.65,39.05,22.58,822.84
19/12/2021,51.27,45.65,39.05,22.58,53.33,530.92
20/12/2021,45.65,39.05,22.58,53.33,19.37,550.14
21/12/2021,39.05,22.58,53.33,19.37,37.51,842.97
22/12/2021,22.58,53.33,19.37,37.51,31.64,757.77
23/12/2021,53.33,19.37,37.51,31.64,18.35,795.12
24/12/2021,19.37,37.51,31.64,18.35,42.94,723.69
25/12/2021,37.51,31.64,18.35,42.94,53.99,707.5
26/12/2021,31.64,18.35,42.94,53.99,42.03,766.94
27/12/2021,18.35,42.94,53.99,42.03,42.49,635.31
28/12/2021,42.94,53.99,42.03,42.49,41.13,691.47
29/12/2021,53.99,42.03,42.49,41.13,32.46,811.53
30/12/2021,42.03,42.49,41.13,32.46,43.19,801.72
31/12/2021,42.49,41.13,32.46,43.19,37.49,820.53
01/01/2022,41.13,32.46,43.19,37.49,29.5,830.22
02/01/2022,32.46,43.19,37.49,29.5,44.11,789.78
03/01/2022,43.19,37.49,29.5,44.11,20,863.66
04/01/2022,37.49,29.5,44.11,20,19.02,784.69
05/01/2022,29.5,44.11,20,19.02,17.8,752.03
06/01/2022,44.11,20,19.02,17.8,30.1,820.72
07/01/2022,20,19.02,17.8,30.1,49.81,708.09
08/01/2022,19.02,17.8,30.1,49.81,30.26,659
09/01/2022,17.8,30.1,49.81,30.26,39.41,638.22
10/01/2022,30.1,49.81,30.26,39.41,24.45,631.91
11/01/2022,49.81,30.26,39.41,24.45,49.52,691.28
12/01/2022,30.26,39.41,24.45,49.52,51.88,732.03
13/01/2022,39.41,24.45,49.52,51.88,46.4,682.91
14/01/2022,24.45,49.52,51.88,46.4,36.36,729.62
15/01/2022,49.52,51.88,46.4,36.36,51.86,776.5
16/01/2022,51.88,46.4,36.36,51.86,46.37,808.56
17/01/2022,46.4,36.36,51.86,46.37,49.75,824.62
18/01/2022,36.36,51.86,46.37,49.75,42.1,759.03
19/01/2022,51.86,46.37,49.75,42.1,41.77,855.94
20/01/2022,46.37,49.75,42.1,41.77,36.52,805.22
21/01/2022,49.75,42.1,41.77,36.52,44.05,834.62
22/01/2022,42.1,41.77,36.52,44.05,35.87,819.22
23/01/2022,41.77,36.52,44.05,35.87,49.94,809.34
24/01/2022,36.52,44.05,35.87,49.94,43.08,813.75
25/01/2022,44.05,35.87,49.94,43.08,34.78,668.31
27/01/2022,35.87,49.94,43.08,34.78,41.29,810.81
28/01/2022,49.94,43.08,34.78,41.29,28,809.94
29/01/2022,43.08,34.78,41.29,28,50.25,835.75
30/01/2022,34.78,41.29,28,50.25,33.49,823.22
31/01/2022,41.29,28,50.25,33.49,16.26,801.81
01/02/2022,28,50.25,33.49,16.26,27.98,762.12
02/02/2022,50.25,33.49,16.26,27.98,42.13,860.06
03/02/2022,33.49,16.26,27.98,42.13,66,842.72
04/02/2022,16.26,27.98,42.13,66,97.13,735.16
05/02/2022,27.98,42.13,66,97.13,80.32,664.12
06/02/2022,42.13,66,97.13,80.32,59.49,734.88
07/02/2022,66,97.13,80.32,59.49,31.45,690.09
08/02/2022,97.13,80.32,59.49,31.45,18.94,688.16
09/02/2022,80.32,59.49,31.45,18.94,25.4,607.25
10/02/2022,59.49,31.45,18.94,25.4,46.31,627.69
11/02/2022,31.45,18.94,25.4,46.31,48.76,574.12
12/02/2022,18.94,25.4,46.31,48.76,49.04,656.19
13/02/2022,25.4,46.31,48.76,49.04,55.76,591.25
14/02/2022,46.31,48.76,49.04,55.76,39.03,692.84
15/02/2022,48.76,49.04,55.76,39.03,33.24,658.94
16/02/2022,49.04,55.76,39.03,33.24,41.1,650.5
17/02/2022,55.76,39.03,33.24,41.1,29.95,651.09
18/02/2022,39.03,33.24,41.1,29.95,45.67,748.28
19/02/2022,33.24,41.1,29.95,45.67,35.47,665.34
